id,fromUserId,toUserId,senderId,receiverId,status,createdAt,timestamp,updatedAt,conversationId,relationshipRefPath
vsvK8zQy9zvgmiQwdF32,NbuGeLBFOVdArVeysp8f5crBSr73,ZY1UfBw3vSQt8IQvnoUtdxzZR303,,,,2026-04-15T00:24:13.088Z,,2026-04-15T00:24:13.088Z,NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303,player_relationships/NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303
ecjvAannBElII1FeyTr7,NbuGeLBFOVdArVeysp8f5crBSr73,ZY1UfBw3vSQt8IQvnoUtdxzZR303,,,,2026-04-15T00:24:13.067Z,,2026-04-15T00:24:13.067Z,NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303,player_relationships/NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303
xeeesUvcdJcbxXBphSKd,NbuGeLBFOVdArVeysp8f5crBSr73,ZY1UfBw3vSQt8IQvnoUtdxzZR303,,,,2026-04-15T00:24:12.247Z,,2026-04-15T00:24:12.247Z,NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303,player_relationships/NbuGeLBFOVdArVeysp8f5crBSr73_ZY1UfBw3vSQt8IQvnoUtdxzZR303
OoVkEQCvweAYm0lpkpEO,ZY1UfBw3vSQt8IQvnoUtdxzZR303,IV6ZaTdRcrgdWzwNnL1fQC40s0w2,,,,2026-04-14T06:12:37.920Z,,2026-04-14T06:21:19.122Z,IV6ZaTdRcrgdWzwNnL1fQC40s0w2_ZY1UfBw3vSQt8IQvnoUtdxzZR303,player_relationships/IV6ZaTdRcrgdWzwNnL1fQC40s0w2_ZY1UfBw3vSQt8IQvnoUtdxzZR303
jnWkwgPO6muxTLqOiM7r,ZY1UfBw3vSQt8IQvnoUtdxzZR303,IV6ZaTdRcrgdWzwNnL1fQC40s0w2,,,,2026-04-14T06:10:17.131Z,,2026-04-14T06:12:13.480Z,IV6ZaTdRcrgdWzwNnL1fQC40s0w2_ZY1UfBw3vSQt8IQvnoUtdxzZR303,player_relationships/IV6ZaTdRcrgdWzwNnL1fQC40s0w2_ZY1UfBw3vSQt8IQvnoUtdxzZR303
QFBFdoWhTpPopRQqKlTU,TuGHKshSpbcnwntLPuIsU9iApbd2,ZY1UfBw3vSQt8IQvnoUtdxzZR303,,,,2026-04-14T05:50:39.437Z,,2026-04-14T05:50:39.437Z,TuGHKshSpbcnwntLPuIsU9iApbd2_ZY1UfBw3vSQt8IQvnoUtdxzZR303,player_relationships/TuGHKshSpbcnwntLPuIsU9iApbd2_ZY1UfBw3vSQt8IQvnoUtdxzZR303
jkJLTdJYaHYGg1wqb8Sc,ZY1UfBw3vSQt8IQvnoUtdxzZR303,TuGHKshSpbcnwntLPuIsU9iApbd2,,,,2026-04-14T05:50:14.437Z,,2026-04-14T05:50:14.437Z,TuGHKshSpbcnwntLPuIsU9iApbd2_ZY1UfBw3vSQt8IQvnoUtdxzZR303,player_relationships/TuGHKshSpbcnwntLPuIsU9iApbd2_ZY1UfBw3vSQt8IQvnoUtdxzZR303
tzVtL9jfKioZulP8Rz7V,w3CzPUO9ZqMUy192hagGMOlljio1,ZY1UfBw3vSQt8IQvnoUtdxzZR303,,,,2026-04-14T05:48:27.066Z,,2026-04-23T02:13:02.823Z,ZY1UfBw3vSQt8IQvnoUtdxzZR303_w3CzPUO9ZqMUy192hagGMOlljio1,player_relationships/ZY1UfBw3vSQt8IQvnoUtdxzZR303_w3CzPUO9ZqMUy192hagGMOlljio1
UmRN24gOe0gOl0WCk4bb,w3CzPUO9ZqMUy192hagGMOlljio1,9qD3pLEJtXSsAgN0LnCWLtAIUJ93,,,,2026-04-12T10:25:40.954Z,,2026-05-18T07:58:53.475Z,9qD3pLEJtXSsAgN0LnCWLtAIUJ93_w3CzPUO9ZqMUy192hagGMOlljio1,player_relationships/9qD3pLEJtXSsAgN0LnCWLtAIUJ93_w3CzPUO9ZqMUy192hagGMOlljio1
f6lgmxs3wIqY87IT8zUf,w3CzPUO9ZqMUy192hagGMOlljio1,9qD3pLEJtXSsAgN0LnCWLtAIUJ93,,,,2026-04-12T10:25:05.317Z,,2026-04-12T10:25:24.788Z,9qD3pLEJtXSsAgN0LnCWLtAIUJ93_w3CzPUO9ZqMUy192hagGMOlljio1,player_relationships/9qD3pLEJtXSsAgN0LnCWLtAIUJ93_w3CzPUO9ZqMUy192hagGMOlljio1
pd9kDAB0gwvvJu5frbF7,w3CzPUO9ZqMUy192hagGMOlljio1,9qD3pLEJtXSsAgN0LnCWLtAIUJ93,,,,2026-04-12T10:24:39.724Z,,2026-04-12T10:24:48.571Z,9qD3pLEJtXSsAgN0LnCWLtAIUJ93_w3CzPUO9ZqMUy192hagGMOlljio1,player_relationships/9qD3pLEJtXSsAgN0LnCWLtAIUJ93_w3CzPUO9ZqMUy192hagGMOlljio1
IBUxYeXjV89IgyWWooyY,5xIDexVRYiaSFTLkzdlYY7IzelA2,c5LHstrHEqbLqQj2aJbH3YBB8Dt1,,,,2026-04-10T13:51:09.693Z,,2026-04-11T05:58:13.377Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_c5LHstrHEqbLqQj2aJbH3YBB8Dt1,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_c5LHstrHEqbLqQj2aJbH3YBB8Dt1
HeWltwhBmYwJSomT642p,MLYOKrT2Z1Qqvo2LUx4vYibtFej2,NbTzmi9rfbM7sfuWH8dP1ZcYURm2,,,,2026-04-10T02:52:56.963Z,,2026-05-10T11:12:40.632Z,MLYOKrT2Z1Qqvo2LUx4vYibtFej2_NbTzmi9rfbM7sfuWH8dP1ZcYURm2,player_relationships/MLYOKrT2Z1Qqvo2LUx4vYibtFej2_NbTzmi9rfbM7sfuWH8dP1ZcYURm2
eUFhNdGpMuMo1PjYC8EM,5xIDexVRYiaSFTLkzdlYY7IzelA2,Cua70mYgfsQezBwLxSELFHTJhjR2,,,,2026-04-09T10:34:39.489Z,,2026-04-09T10:34:39.489Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_Cua70mYgfsQezBwLxSELFHTJhjR2,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_Cua70mYgfsQezBwLxSELFHTJhjR2
akpih4ziYAIGpDB08TxP,5xIDexVRYiaSFTLkzdlYY7IzelA2,NbTzmi9rfbM7sfuWH8dP1ZcYURm2,,,,2026-04-09T10:33:52.281Z,,2026-04-09T12:20:50.953Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_NbTzmi9rfbM7sfuWH8dP1ZcYURm2,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_NbTzmi9rfbM7sfuWH8dP1ZcYURm2
KpcxwjkBBtvuD5r1c05f,5xIDexVRYiaSFTLkzdlYY7IzelA2,NbTzmi9rfbM7sfuWH8dP1ZcYURm2,,,,2026-04-09T10:33:13.612Z,,2026-04-09T10:33:26.734Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_NbTzmi9rfbM7sfuWH8dP1ZcYURm2,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_NbTzmi9rfbM7sfuWH8dP1ZcYURm2
v4hVKmYNip18FsrCOSRm,5xIDexVRYiaSFTLkzdlYY7IzelA2,gIx1A8LdxZZJqYn8q5pgD9EHZbS2,,,,2026-04-09T10:30:10.076Z,,2026-05-05T02:58:55.342Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_gIx1A8LdxZZJqYn8q5pgD9EHZbS2,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_gIx1A8LdxZZJqYn8q5pgD9EHZbS2
zNinQejaMQLwFg5ANW0b,TaJs0MNJPfQElXJSXr4SYyTmxWP2,ZHFe6WhXuDQYxCXwv7hGxECtwcC2,,,,2026-04-09T04:35:00.946Z,,2026-04-09T04:35:00.946Z,TaJs0MNJPfQElXJSXr4SYyTmxWP2_ZHFe6WhXuDQYxCXwv7hGxECtwcC2,player_relationships/TaJs0MNJPfQElXJSXr4SYyTmxWP2_ZHFe6WhXuDQYxCXwv7hGxECtwcC2
NwX82jPnHX88G5ZJtgls,OjnKYIKeb6PUrurbaZrb7senL1C3,IV6ZaTdRcrgdWzwNnL1fQC40s0w2,,,,2026-04-07T05:49:51.388Z,,2026-04-07T05:49:51.388Z,IV6ZaTdRcrgdWzwNnL1fQC40s0w2_OjnKYIKeb6PUrurbaZrb7senL1C3,player_relationships/IV6ZaTdRcrgdWzwNnL1fQC40s0w2_OjnKYIKeb6PUrurbaZrb7senL1C3
G6646pSGM79mHsQdWONF,RDT0ovRdiBWrW2Uv06ECaOc18JV2,yTvQ5mYTzPN6A6bopzzQfifQnwL2,,,,2026-04-06T22:26:25.811Z,,2026-04-06T22:26:25.811Z,RDT0ovRdiBWrW2Uv06ECaOc18JV2_yTvQ5mYTzPN6A6bopzzQfifQnwL2,player_relationships/RDT0ovRdiBWrW2Uv06ECaOc18JV2_yTvQ5mYTzPN6A6bopzzQfifQnwL2
t6qK1TXsxJDzxaN5Y9qM,fLQEisnhlRQIMckX6f67qnoE1IB3,lRmUpclRnGZ3Tfl7K0ViZdGlSwU2,,,,2026-04-02T22:32:11.124Z,,2026-04-08T19:17:02.394Z,fLQEisnhlRQIMckX6f67qnoE1IB3_lRmUpclRnGZ3Tfl7K0ViZdGlSwU2,player_relationships/fLQEisnhlRQIMckX6f67qnoE1IB3_lRmUpclRnGZ3Tfl7K0ViZdGlSwU2
EQPlYkUCNLAb9jl919qx,r8t4i3cBgBYae6o6X7AT4Dq58xB2,KWQOQSolOzSL682YLa65XnIu0Uh2,,,,2026-04-01T10:34:42.174Z,,2026-04-01T19:59:21.156Z,KWQOQSolOzSL682YLa65XnIu0Uh2_r8t4i3cBgBYae6o6X7AT4Dq58xB2,player_relationships/KWQOQSolOzSL682YLa65XnIu0Uh2_r8t4i3cBgBYae6o6X7AT4Dq58xB2
